.Alabama,4858979.00 ,1
.Alaska,738432.00 ,1
.Arizona,6828065.00 ,1
.Arkansas,2978204.00 ,1
.California,39144818.00 ,1
.Colorado,5456574.00 ,1
.Connecticut,3590886.00 ,1
.Delaware,945934.00 ,1
.District of Columbia,672228.00 ,1
.Florida,20271272.00 ,1
.Georgia,10214860.00 ,1
.Hawaii,1431603.00 ,1
.Idaho,1654930.00 ,1
.Illinois,12859995.00 ,1
.Indiana,6619680.00 ,1
.Iowa,3123899.00 ,1
.Kansas,2911641.00 ,1
.Kentucky,4425092.00 ,1
.Louisiana,4670724.00 ,1
.Maine,1329328.00 ,1
.Maryland,6006401.00 ,1
.Massachusetts,6794422.00 ,1
.Michigan,9922576.00 ,1
.Minnesota,5489594.00 ,1
.Mississippi,2992333.00 ,1
.Missouri,6083672.00 ,1
.Montana,1032949.00 ,1
.Nebraska,1896190.00 ,1
.Nevada,2890845.00 ,1
.New Hampshire,1330608.00 ,1
.New Jersey,8958013.00 ,1
.New Mexico,2085109.00 ,1
.New York,19795791.00 ,1
.North Carolina,10042802.00 ,1
.North Dakota,756927.00 ,1
.Ohio,11613423.00 ,1
.Oklahoma,3911338.00 ,1
.Oregon,4028977.00 ,1
.Pennsylvania,12802503.00 ,1
.Rhode Island,1056298.00 ,1
.South Carolina,4896146.00 ,1
.South Dakota,858469.00 ,1
.Tennessee,6600299.00 ,1
.Texas,27469114.00 ,1
.Utah,2995919.00 ,1
.Vermont,626042.00 ,1
.Virginia,8382993.00 ,1
.Washington,7170351.00 ,1
.West Virginia,1844128.00 ,1
.Wisconsin,5771337.00 ,1
.Wyoming,586107.00 ,1
Puerto Rico,3474182.00 ,1
