Alabama,5030053,1
Alaska,736081,1
Arizona,7158923,1
Arkansas,3013756,1
California,39576757,1
Colorado,5782171,1
Connecticut,3608298,1
Delaware,990837,1
Florida,21570527,1
Georgia,10725274,1
Hawaii,1460137,1
Idaho,1841377,1
Illinois,12822739,1
Indiana,6790280,1
Iowa,3192406,1
Kansas,2940865,1
Kentucky,4509342,1
Louisiana,4661468,1
Maine,1363582,1
Maryland,6185278,1
Massachusetts,7033469,1
Michigan,10084442,1
Minnesota,5709752,1
Mississippi,2963914,1
Missouri,6160281,1
Montana,1085407,1
Nebraska,1963333,1
Nevada,3108462,1
New Hampshire,1379089,1
New Jersey,9294493,1
New Mexico,2120220,1
New York,20215751,1
North Carolina,10453948,1
North Dakota,779702,1
Ohio,11808848,1
Oklahoma,3963516,1
Oregon,4241500,1
Pennsylvania,13011844,1
Rhode Island,1098163,1
South Carolina,5124712,1
South Dakota,887770,1
Tennessee,6916897,1
Texas,29183290,1
Utah,3275252,1
Vermont,643503,1
Virginia,8654542,1
Washington,7715946,1
West Virginia,1795045,1
Wisconsin,5897473,1
Wyoming,577719,1
